gross_actual,gross_model,net_actual,net_model,tes_actual,tes_model,revenue_actual,revenue_model
64.1613,66.1594,56.2271,59.54346,352.468,250.317,61.84981,72.7754
121.273,120.551,110.892,108.4959,737.635,585.308,121.9812,132.606
121.21,120.551,109.92,108.4959,1102.55,957.404,120.912,132.606
121.157,120.551,109.715,108.4959,1472.09,1333.97,120.6865,132.606
121.156,120.551,110.465,108.4959,1811.16,1679.81,121.5115,132.606
121.206,120.551,111.842,108.4959,2087.69,1962.73,123.0262,132.606
121.331,120.551,113.98,108.4959,2233.5,2113.56,125.378,132.606
120.466,120.551,117.607,108.4959,1949.28,1831.53,129.3677,132.606
120.814,120.551,118.181,108.4959,1665.6,1550.1,129.9991,132.606
120.81,120.551,118.177,108.4959,1381.93,1268.67,129.9947,132.606
120.877,120.551,118.251,108.4959,1099.66,988.343,130.0761,132.606
120.975,120.551,118.357,108.4959,818.654,709.093,130.1927,132.606
121.067,120.551,118.456,108.4959,538.961,430.896,94.7648,96.4409
121.133,120.551,118.53,108.4959,260.593,153.754,94.824,96.4409
60.3211,66.4376,58.8759,59.79384,107.298,0,47.10072,53.1501
